id_compra,fecha_compra,id_proveedor,total
C001,2025-01-01,PRV01,168200.0
C002,2025-01-02,PRV03,323000.0
C003,2025-01-03,PRV03,715300.0
C004,2025-01-04,PRV02,720000.0
C005,2025-01-05,PRV01,710600.0
C006,2025-01-06,PRV02,102900.0
C007,2025-01-07,PRV01,825400.0
C008,2025-01-08,PRV02,1840900.0
C009,2025-01-09,PRV01,277500.0
C010,2025-01-10,PRV03,489900.0
C011,2025-01-11,PRV02,1489400.0
C012,2025-01-12,PRV02,852300.0
C013,2025-01-13,PRV01,411800.0
C014,2025-01-14,PRV02,1263600.0
C015,2025-01-15,PRV02,107100.0
C016,2025-01-16,PRV03,450100.0
C017,2025-01-17,PRV03,551300.0
C018,2025-01-18,PRV03,571500.0
C019,2025-01-19,PRV03,551000.0
C020,2025-01-20,PRV02,1151300.0
C021,2025-01-21,PRV01,703700.0
C022,2025-01-22,PRV01,757200.0
C023,2025-01-23,PRV03,693500.0
C024,2025-01-24,PRV03,180600.0
C025,2025-01-25,PRV01,552500.0
C026,2025-01-26,PRV02,735600.0
C027,2025-01-27,PRV01,540000.0
