id_detalle_compra,id_compra,id_producto,cantidad,precio_compra_unitario
DC0001,C001,P009,58,2900
DC0002,C002,P010,34,9500
DC0003,C003,P005,64,4200
DC0004,C003,P010,47,9500
DC0005,C004,P002,15,48000
DC0006,C005,P001,74,5800
DC0007,C005,P007,42,6700
DC0008,C006,P003,49,2100
DC0009,C007,P001,73,5800
DC0010,C007,P007,60,6700
DC0011,C008,P002,12,48000
DC0012,C008,P003,69,2100
DC0013,C008,P004,14,80000
DC0014,C009,P008,37,7500
DC0015,C010,P005,42,4200
DC0016,C010,P010,33,9500
DC0017,C011,P003,54,2100
DC0018,C011,P002,12,48000
DC0019,C011,P004,10,80000
DC0020,C012,P003,63,2100
DC0021,C012,P002,15,48000
DC0022,C013,P001,71,5800
DC0023,C014,P002,23,48000
DC0024,C014,P003,76,2100
DC0025,C015,P003,51,2100
DC0026,C016,P005,28,4200
DC0027,C016,P010,35,9500
DC0028,C017,P010,43,9500
DC0029,C017,P005,34,4200
DC0030,C018,P005,75,4200
DC0031,C018,P010,27,9500
DC0032,C019,P010,58,9500
DC0033,C020,P003,53,2100
DC0034,C020,P004,13,80000
DC0035,C021,P001,41,5800
DC0036,C021,P007,27,6700
DC0037,C021,P008,38,7500
DC0038,C022,P001,52,5800
DC0039,C022,P007,68,6700
DC0040,C023,P010,73,9500
DC0041,C024,P005,43,4200
DC0042,C025,P009,40,2900
DC0043,C025,P001,51,5800
DC0044,C025,P007,21,6700
DC0045,C026,P002,12,48000
DC0046,C026,P003,76,2100
DC0047,C027,P008,72,7500
