id_venta,fecha_venta,id_cliente,total
V001,2025-02-01,CL009,28490.0
V002,2025-02-02,CL005,262000.0
V003,2025-02-03,CL008,215750.0
V004,2025-02-04,CL001,89790.0
V005,2025-02-05,CL001,208870.0
V006,2025-02-06,CL009,235830.0
V007,2025-02-07,CL007,183920.0
V008,2025-02-08,CL004,69180.0
V009,2025-02-09,CL009,3310.0
V010,2025-02-10,CL002,41360.0
V011,2025-02-11,CL004,97430.0
V012,2025-02-12,CL007,460080.0
V013,2025-02-13,CL001,65580.0
V014,2025-02-14,CL002,179720.0
V015,2025-02-15,CL007,59150.0
V016,2025-02-16,CL007,197840.0
V017,2025-02-17,CL003,175480.0
V018,2025-02-18,CL010,6620.0
V019,2025-02-19,CL009,110040.0
V020,2025-02-20,CL005,48360.0
V021,2025-02-21,CL005,6620.0
V022,2025-02-22,CL005,269370.0
V023,2025-02-23,CL008,158760.0
V024,2025-02-24,CL007,76380.0
V025,2025-02-25,CL003,50960.0
V026,2025-02-26,CL010,15080.0
V027,2025-02-27,CL006,
V028,2025-02-28,CL004,
V029,2025-03-01,CL010,99270.0
V030,2025-03-02,CL001,290240.0
V031,2025-03-03,CL007,16640.0
V032,2025-03-04,CL004,225210.0
V033,2025-03-05,CL006,14790.0
V034,2025-03-06,CL009,187050.0
V035,2025-03-07,CL001,72650.0
V036,2025-03-08,CL001,306790.0
V037,2025-03-09,CL010,24650.0
V038,2025-03-10,CL005,85580.0
V039,2025-03-11,CL007,66570.0
V040,2025-03-12,CL001,211460.0
V041,2025-03-13,CL004,222590.0
V042,2025-03-14,CL002,99650.0
V043,2025-03-15,CL001,139120.0
V044,2025-03-16,CL010,253520.0
V045,2025-03-17,CL004,141660.0
V046,2025-03-18,CL009,70780.0
V047,2025-03-19,CL008,304190.0
V048,2025-03-20,CL008,204230.0
V049,2025-03-21,CL003,18310.0
V050,2025-03-22,CL007,51830.0
V051,2025-03-23,CL007,41920.0
V052,2025-03-24,CL008,53830.0
V053,2025-03-25,CL004,102340.0
V054,2025-03-26,CL003,7970.0
V055,2025-03-27,CL002,85330.0
V056,2025-03-28,CL008,70760.0
V057,2025-03-29,CL001,
V058,2025-03-30,CL002,13500.0
V059,2025-03-31,CL004,20960.0
V060,2025-04-01,CL004,302060.0
V061,2025-04-02,CL003,10480.0
V062,2025-04-03,CL005,279280.0
V063,2025-04-04,CL010,10480.0
V064,2025-04-05,CL006,143320.0
V065,2025-04-06,CL006,88160.0
V066,2025-04-07,CL008,142710.0
V067,2025-04-08,CL008,62720.0
V068,2025-04-09,CL006,31270.0
V069,2025-04-10,CL002,46520.0
V070,2025-04-11,CL002,23910.0
V071,2025-04-12,CL010,41370.0
