id_auditoria_final,fecha,semana,id_area,riesgo_focal,tipo_auditoria,origen,rol_auditor_id,id_evento_asociado
AUF_000054,2024-11-11,1,TME,R02,AUF,planificada,TME_ROL_01,
AUF_000052,2024-11-12,1,TME,R02,AUF,planificada,TME_ROL_04,
AUF_000001,2024-11-13,1,STM,R03,AUF,reactiva,STM_ROL_01,
AUF_000048,2024-11-14,1,STM,R01,AUF,planificada,STM_ROL_05,
AUF_000046,2024-11-16,1,TME,R01,AUF,planificada,TME_ROL_08,
AUF_000058,2024-11-18,2,STM,R03,AUF,planificada,STM_ROL_07,
AUF_000002,2024-11-18,2,TME,R01,AUF,reactiva,TME_ROL_02,
AUF_000053,2024-11-18,2,TME,R02,AUF,planificada,TME_ROL_03,
AUF_000057,2024-11-18,2,TME,R03,AUF,planificada,TME_ROL_01,
AUF_000055,2024-11-19,2,STM,R03,AUF,planificada,STM_ROL_01,
AUF_000059,2024-11-20,2,STM,R03,AUF,planificada,STM_ROL_02,
AUF_000003,2024-11-22,2,CHP,R02,AUF,reactiva,CHP_ROL_08,
AUF_000049,2024-11-22,2,CHP,R01,AUF,planificada,CHP_ROL_07,
AUF_000056,2024-11-23,2,CHP,R03,AUF,planificada,CHP_ROL_08,
AUF_000050,2024-11-23,2,MRA,R02,AUF,planificada,MRA_ROL_04,
AUF_000004,2024-11-24,2,PLC,R01,AUF,reactiva,PLC_ROL_03,
AUF_000005,2024-11-25,3,CHP,R03,AUF,reactiva,CHP_ROL_01,
AUF_000006,2024-11-25,3,MRA,R03,AUF,reactiva,MRA_ROL_06,
AUF_000047,2024-11-25,3,MRA,R01,AUF,planificada,MRA_ROL_08,
AUF_000045,2024-11-28,3,CHP,R01,AUF,planificada,CHP_ROL_07,
AUF_000007,2024-11-28,3,STM,R02,AUF,reactiva,STM_ROL_04,
AUF_000008,2024-11-29,3,CHP,R02,AUF,reactiva,CHP_ROL_05,
AUF_000051,2024-11-30,3,PLC,R02,AUF,planificada,PLC_ROL_07,
AUF_000009,2024-12-02,3,MRA,R02,AUF,reactiva,MRA_ROL_08,
AUF_000010,2024-12-02,4,MRA,R01,AUF,reactiva,MRA_ROL_02,
AUF_000013,2024-12-09,5,MRA,R01,AUF,reactiva,MRA_ROL_01,
AUF_000011,2024-12-10,4,CHP,R02,AUF,reactiva,CHP_ROL_01,
AUF_000012,2024-12-10,4,MRA,R02,AUF,reactiva,MRA_ROL_03,
AUF_000014,2024-12-11,5,TME,R03,AUF,reactiva,TME_ROL_02,
AUF_000073,2024-12-12,5,STM,R03,AUF,planificada,STM_ROL_01,
AUF_000067,2024-12-13,5,STM,R02,AUF,planificada,STM_ROL_05,
AUF_000015,2024-12-13,5,TME,R02,AUF,reactiva,TME_ROL_04,
AUF_000074,2024-12-16,6,CHP,R03,AUF,planificada,CHP_ROL_07,
AUF_000016,2024-12-17,5,STM,R02,AUF,reactiva,STM_ROL_08,
AUF_000069,2024-12-17,6,TME,R02,AUF,planificada,TME_ROL_01,
AUF_000018,2024-12-18,6,STM,R02,AUF,reactiva,STM_ROL_04,
AUF_000017,2024-12-18,6,TME,R01,AUF,reactiva,TME_ROL_06,
AUF_000019,2024-12-19,6,TME,R02,AUF,reactiva,TME_ROL_06,
AUF_000020,2024-12-20,6,MRA,R03,AUF,reactiva,MRA_ROL_02,
AUF_000065,2024-12-21,6,PLC,R02,AUF,planificada,PLC_ROL_04,
AUF_000068,2024-12-22,6,MRA,R02,AUF,planificada,MRA_ROL_08,
AUF_000070,2024-12-24,7,STM,R03,AUF,planificada,STM_ROL_08,
AUF_000063,2024-12-26,7,STM,R01,AUF,planificada,STM_ROL_04,
AUF_000021,2024-12-26,7,TME,R01,AUF,reactiva,TME_ROL_04,
AUF_000072,2024-12-27,7,MRA,R03,AUF,planificada,MRA_ROL_06,
AUF_000022,2024-12-27,7,PLC,R02,AUF,reactiva,PLC_ROL_04,
AUF_000062,2024-12-28,7,TME,R01,AUF,planificada,TME_ROL_01,
AUF_000061,2024-12-29,7,MRA,R01,AUF,planificada,MRA_ROL_02,
AUF_000064,2024-12-29,7,MRA,R01,AUF,planificada,MRA_ROL_06,
AUF_000071,2024-12-29,7,MRA,R03,AUF,planificada,MRA_ROL_07,
AUF_000060,2024-12-29,7,STM,R01,AUF,planificada,STM_ROL_08,
AUF_000024,2024-12-30,8,STM,R02,AUF,reactiva,STM_ROL_07,
AUF_000066,2024-12-31,8,CHP,R02,AUF,planificada,CHP_ROL_01,
AUF_000023,2024-12-31,7,PLC,R03,AUF,reactiva,PLC_ROL_07,
AUF_000025,2025-01-01,8,MRA,R02,AUF,reactiva,MRA_ROL_02,
AUF_000026,2025-01-05,8,CHP,R02,AUF,reactiva,CHP_ROL_08,
AUF_000027,2025-01-05,8,PLC,R03,AUF,reactiva,PLC_ROL_07,
AUF_000087,2025-01-06,9,TME,R03,AUF,planificada,TME_ROL_04,
AUF_000076,2025-01-08,9,CHP,R01,AUF,planificada,CHP_ROL_05,
AUF_000081,2025-01-08,9,PLC,R02,AUF,planificada,PLC_ROL_01,
AUF_000028,2025-01-08,9,STM,R02,AUF,reactiva,STM_ROL_04,
AUF_000078,2025-01-10,9,TME,R01,AUF,planificada,TME_ROL_04,
AUF_000030,2025-01-11,9,CHP,R02,AUF,reactiva,CHP_ROL_07,
AUF_000079,2025-01-11,9,CHP,R01,AUF,planificada,CHP_ROL_06,
AUF_000029,2025-01-11,9,STM,R01,AUF,reactiva,STM_ROL_08,
AUF_000031,2025-01-12,9,STM,R02,AUF,reactiva,STM_ROL_03,
AUF_000032,2025-01-14,10,CHP,R02,AUF,reactiva,CHP_ROL_04,
AUF_000085,2025-01-14,10,PLC,R03,AUF,planificada,PLC_ROL_06,
AUF_000082,2025-01-15,10,CHP,R02,AUF,planificada,CHP_ROL_07,
AUF_000033,2025-01-15,10,PLC,R03,AUF,reactiva,PLC_ROL_06,
AUF_000075,2025-01-15,10,PLC,R01,AUF,planificada,PLC_ROL_09,
AUF_000077,2025-01-16,10,STM,R01,AUF,planificada,STM_ROL_05,
AUF_000034,2025-01-16,10,TME,R02,AUF,reactiva,TME_ROL_04,
AUF_000035,2025-01-17,10,STM,R01,AUF,reactiva,STM_ROL_03,
AUF_000036,2025-01-19,10,CHP,R02,AUF,reactiva,CHP_ROL_01,
AUF_000086,2025-01-21,11,MRA,R03,AUF,planificada,MRA_ROL_02,
AUF_000037,2025-01-21,11,STM,R02,AUF,reactiva,STM_ROL_03,
AUF_000038,2025-01-22,11,TME,R03,AUF,reactiva,TME_ROL_08,
AUF_000088,2025-01-24,11,MRA,R03,AUF,planificada,MRA_ROL_06,
AUF_000039,2025-01-24,11,PLC,R02,AUF,reactiva,PLC_ROL_07,
AUF_000080,2025-01-25,11,CHP,R02,AUF,planificada,CHP_ROL_09,
AUF_000040,2025-01-26,11,CHP,R02,AUF,reactiva,CHP_ROL_06,
AUF_000083,2025-01-27,12,PLC,R02,AUF,planificada,PLC_ROL_08,
AUF_000084,2025-01-27,12,TME,R02,AUF,planificada,TME_ROL_01,
AUF_000041,2025-01-28,12,CHP,R02,AUF,reactiva,CHP_ROL_05,
AUF_000089,2025-01-28,12,MRA,R03,AUF,planificada,MRA_ROL_02,
AUF_000095,2025-02-01,12,CHP,R02,AUF,planificada,CHP_ROL_06,
AUF_000100,2025-02-01,12,CHP,R03,AUF,planificada,CHP_ROL_04,
AUF_000102,2025-02-01,12,CHP,R03,AUF,planificada,CHP_ROL_07,
AUF_000104,2025-02-01,12,CHP,R03,AUF,planificada,CHP_ROL_02,
AUF_000091,2025-02-01,12,MRA,R01,AUF,planificada,MRA_ROL_06,
AUF_000094,2025-02-01,12,PLC,R01,AUF,planificada,PLC_ROL_01,
AUF_000096,2025-02-01,12,PLC,R02,AUF,planificada,PLC_ROL_08,
AUF_000090,2025-02-01,12,STM,R01,AUF,planificada,STM_ROL_04,
AUF_000097,2025-02-01,12,STM,R02,AUF,planificada,STM_ROL_02,
AUF_000099,2025-02-01,12,STM,R02,AUF,planificada,STM_ROL_06,
AUF_000093,2025-02-01,12,TME,R01,AUF,planificada,TME_ROL_07,
AUF_000103,2025-02-02,12,MRA,R03,AUF,planificada,MRA_ROL_05,
AUF_000092,2025-02-02,12,PLC,R01,AUF,planificada,PLC_ROL_05,
AUF_000098,2025-02-02,12,STM,R02,AUF,planificada,STM_ROL_05,
AUF_000101,2025-02-02,12,STM,R03,AUF,planificada,STM_ROL_02,
AUF_000042,2025-02-03,12,CHP,R03,AUF,reactiva,CHP_ROL_03,
