id_dia,fecha,semana,fdo_clima
1,2024-11-11,1,0.3765846625276664
2,2024-11-12,1,0.3534270246429743
3,2024-11-13,1,0.3091975924478789
4,2024-11-14,1,0.4110922589709866
5,2024-11-15,1,0.39865027752620663
6,2024-11-16,1,0.4196861235869124
7,2024-11-17,1,0.35393612290402127
8,2024-11-18,2,0.5692957923752063
9,2024-11-19,2,0.46021073970659054
10,2024-11-20,2,0.608481453280322
11,2024-11-21,2,0.2461536530821451
12,2024-11-22,2,0.5438394206422942
13,2024-11-23,2,0.45515214311441565
14,2024-11-24,2,0.3617766686779077
15,2024-11-25,3,0.5476549474182267
16,2024-11-26,3,0.574481807494287
17,2024-11-27,3,0.5784552221003794
18,2024-11-28,3,0.4417412927916756
19,2024-11-29,3,0.42686005596429044
20,2024-11-30,3,0.5497202474503362
21,2024-12-01,3,0.6079146784957461
22,2024-12-02,4,0.6326091093258842
23,2024-12-03,4,0.4788339386559218
24,2024-12-04,4,0.6392423810698364
25,2024-12-05,4,0.5902541174347762
26,2024-12-06,4,0.8699812050351485
27,2024-12-07,4,0.6452880508335411
28,2024-12-08,4,0.47339041050498787
29,2024-12-09,5,0.5869286509056799
30,2024-12-10,5,0.6025285099620725
31,2024-12-11,5,0.519622990406817
32,2024-12-12,5,0.3644233956116768
33,2024-12-13,5,0.4796195439448548
34,2024-12-14,5,0.6145418171026528
35,2024-12-15,5,0.6016486427688974
36,2024-12-16,6,0.49684468246438157
37,2024-12-17,6,0.5830376262869483
38,2024-12-18,6,0.353907747234857
39,2024-12-19,6,0.6004738402748976
40,2024-12-20,6,0.39632482365240657
41,2024-12-21,6,0.6696498488339127
42,2024-12-22,6,0.40704641790240276
43,2024-12-23,7,0.42493970051561014
44,2024-12-24,7,0.3553862269625923
45,2024-12-25,7,0.42619512353051714
46,2024-12-26,7,0.3306391831949457
47,2024-12-27,7,0.4594645759817209
48,2024-12-28,7,0.275937317480503
49,2024-12-29,7,0.261431449075071
50,2024-12-30,8,0.10810370769149286
51,2024-12-31,8,0.24694846433887951
52,2025-01-01,8,0.40212397642940617
53,2025-01-02,8,0.25861769498403153
54,2025-01-03,8,0.17211532884034342
55,2025-01-04,8,0.03646051269816769
56,2025-01-05,8,0.19115971956290806
57,2025-01-06,9,0.030722258714725725
58,2025-01-07,9,0.2067337710002877
59,2025-01-08,9,0.2731971994327025
60,2025-01-09,9,0.21360317505309934
61,2025-01-10,9,0.26657330658232825
62,2025-01-11,9,0.0
63,2025-01-12,9,0.03169746768829801
64,2025-01-13,10,0.2850408558121002
65,2025-01-14,10,0.11950099629554198
66,2025-01-15,10,0.09828581167021151
67,2025-01-16,10,0.27949027093343887
68,2025-01-17,10,0.35476102767354883
69,2025-01-18,10,0.2052818417810197
70,2025-01-19,10,0.10991880056765686
71,2025-01-20,11,0.4441842442358461
72,2025-01-21,11,0.48281350055589345
73,2025-01-22,11,0.2967239993033631
74,2025-01-23,11,0.367410959091456
75,2025-01-24,11,0.2256094606142957
76,2025-01-25,11,0.2014401739984395
77,2025-01-26,11,0.20583049998048514
78,2025-01-27,12,0.54415686206579
79,2025-01-28,12,0.40865897874728996
80,2025-01-29,12,0.35674418121803786
81,2025-01-30,12,0.5201213922163944
82,2025-01-31,12,0.5676437312275282
83,2025-02-01,12,0.2521413754220158
84,2025-02-02,12,0.4248220586300336
