id_incidente,fecha,semana,dia_semana,turno,id_area,id_rol,tipo_incidente,descripcion_incidente,con_lesion,dias_perdidos
INC_000001,2024-11-11,1,Lunes,T1D,STM,TME_ROL_01,IMED,Incidente sintético tipo Incidente Mediano con Lesión,True,6
INC_000002,2024-11-13,1,Miércoles,T2N,MRA,CHP_ROL_01,ILEV,Incidente sintético tipo Incidente Leve con Lesión,True,2
INC_000003,2024-11-14,1,Jueves,T1D,MRA,TME_ROL_01,INMI,Incidente sintético tipo Incidente sin Lesión / Casi Incidente,False,0
INC_000004,2024-11-16,1,Sábado,T2N,MRA,MRA_ROL_02,ILEV,Incidente sintético tipo Incidente Leve con Lesión,True,2
INC_000005,2024-11-17,1,Domingo,T1D,PLC,CHP_ROL_01,IMED,Incidente sintético tipo Incidente Mediano con Lesión,True,8
INC_000006,2024-11-19,2,Martes,T2N,STM,TME_ROL_02,INMI,Incidente sintético tipo Incidente sin Lesión / Casi Incidente,False,0
INC_000007,2024-11-23,2,Sábado,T2N,PLC,CHP_ROL_01,INMI,Incidente sintético tipo Incidente sin Lesión / Casi Incidente,False,0
INC_000008,2024-11-24,2,Domingo,T2N,MRA,STM_ROL_02,ILEV,Incidente sintético tipo Incidente Leve con Lesión,True,0
INC_000009,2024-11-24,2,Domingo,T2N,TME,MRA_ROL_01,INMI,Incidente sintético tipo Incidente sin Lesión / Casi Incidente,False,0
INC_000010,2024-11-24,2,Domingo,T2N,CHP,STM_ROL_02,INMI,Incidente sintético tipo Incidente sin Lesión / Casi Incidente,False,0
INC_000011,2024-11-25,3,Lunes,T2N,CHP,TME_ROL_02,INMI,Incidente sintético tipo Incidente sin Lesión / Casi Incidente,False,0
INC_000012,2024-11-27,3,Miércoles,T1D,TME,PLC_ROL_01,IMED,Incidente sintético tipo Incidente Mediano con Lesión,True,5
INC_000013,2024-11-29,3,Viernes,T2N,MRA,STM_ROL_01,IMED,Incidente sintético tipo Incidente Mediano con Lesión,True,7
INC_000014,2024-11-30,3,Sábado,T2N,CHP,MRA_ROL_02,INMI,Incidente sintético tipo Incidente sin Lesión / Casi Incidente,False,0
INC_000015,2024-12-01,3,Domingo,T2N,MRA,CHP_ROL_02,IMAY,Incidente sintético tipo Incidente Mayor con Lesión,True,17
INC_000016,2024-12-02,4,Lunes,T1D,MRA,TME_ROL_02,INMI,Incidente sintético tipo Incidente sin Lesión / Casi Incidente,False,0
INC_000017,2024-12-03,4,Martes,T1D,CHP,PLC_ROL_02,ILEV,Incidente sintético tipo Incidente Leve con Lesión,True,2
INC_000018,2024-12-03,4,Martes,T1D,MRA,PLC_ROL_01,INMI,Incidente sintético tipo Incidente sin Lesión / Casi Incidente,False,0
INC_000019,2024-12-04,4,Miércoles,T1D,PLC,CHP_ROL_02,ILEV,Incidente sintético tipo Incidente Leve con Lesión,True,1
INC_000020,2024-12-04,4,Miércoles,T1D,TME,CHP_ROL_01,INMI,Incidente sintético tipo Incidente sin Lesión / Casi Incidente,False,0
INC_000021,2024-12-06,4,Viernes,T1D,TME,CHP_ROL_01,INMI,Incidente sintético tipo Incidente sin Lesión / Casi Incidente,False,0
INC_000022,2024-12-08,4,Domingo,T1D,PLC,TME_ROL_01,ILEV,Incidente sintético tipo Incidente Leve con Lesión,True,1
INC_000023,2024-12-08,4,Domingo,T1D,MRA,MRA_ROL_01,INMI,Incidente sintético tipo Incidente sin Lesión / Casi Incidente,False,0
INC_000024,2024-12-08,4,Domingo,T1D,MRA,TME_ROL_02,INMI,Incidente sintético tipo Incidente sin Lesión / Casi Incidente,False,0
INC_000025,2024-12-09,5,Lunes,T1D,PLC,TME_ROL_02,INMI,Incidente sintético tipo Incidente sin Lesión / Casi Incidente,False,0
INC_000026,2024-12-09,5,Lunes,T1D,CHP,TME_ROL_01,INMI,Incidente sintético tipo Incidente sin Lesión / Casi Incidente,False,0
INC_000027,2024-12-09,5,Lunes,T1D,CHP,STM_ROL_01,INMI,Incidente sintético tipo Incidente sin Lesión / Casi Incidente,False,0
INC_000028,2024-12-10,5,Martes,T1D,MRA,STM_ROL_02,IMED,Incidente sintético tipo Incidente Mediano con Lesión,True,5
INC_000029,2024-12-11,5,Miércoles,T2N,TME,PLC_ROL_01,ILEV,Incidente sintético tipo Incidente Leve con Lesión,True,1
INC_000030,2024-12-11,5,Miércoles,T1D,STM,PLC_ROL_01,INMI,Incidente sintético tipo Incidente sin Lesión / Casi Incidente,False,0
INC_000031,2024-12-14,5,Sábado,T1D,PLC,MRA_ROL_01,INMI,Incidente sintético tipo Incidente sin Lesión / Casi Incidente,False,0
INC_000032,2024-12-15,5,Domingo,T2N,STM,MRA_ROL_01,IMED,Incidente sintético tipo Incidente Mediano con Lesión,True,8
INC_000033,2024-12-16,6,Lunes,T1D,STM,STM_ROL_01,INMI,Incidente sintético tipo Incidente sin Lesión / Casi Incidente,False,0
INC_000034,2024-12-17,6,Martes,T2N,MRA,STM_ROL_02,INMI,Incidente sintético tipo Incidente sin Lesión / Casi Incidente,False,0
INC_000035,2024-12-19,6,Jueves,T2N,MRA,MRA_ROL_02,INMI,Incidente sintético tipo Incidente sin Lesión / Casi Incidente,False,0
INC_000036,2024-12-20,6,Viernes,T2N,PLC,CHP_ROL_01,INMI,Incidente sintético tipo Incidente sin Lesión / Casi Incidente,False,0
INC_000037,2024-12-21,6,Sábado,T1D,CHP,TME_ROL_01,ILEV,Incidente sintético tipo Incidente Leve con Lesión,True,1
