id_observacion,fecha,semana,id_area,rol_observador_id,rol_observado_id,tarea_id,tipo_observacion,estado,riesgo_id,is_control_critico,control_critico_id
OBS_000004,2024-11-11,1,CHP,CHP_ROL_06,CHP_ROL_06,CHP_TA_017,OPG,OPG+,,False,
OBS_000001,2024-11-11,1,MRA,MRA_ROL_07,MRA_ROL_07,MRA_TA_016,OPG,OPG+,,False,
OBS_000002,2024-11-11,1,MRA,MRA_ROL_06,MRA_ROL_06,MRA_TA_020,OPG,OPG+,,False,
OBS_000003,2024-11-11,1,MRA,MRA_ROL_06,MRA_ROL_06,MRA_TA_012,OPG,OPG+,,False,
OBS_000005,2024-11-11,1,PLC,PLC_ROL_04,PLC_ROL_04,PLC_TA_015,OPG,OPG+,,False,
OBS_000006,2024-11-11,1,PLC,PLC_ROL_08,PLC_ROL_08,PLC_TA_008,OPG,OPG+,,False,
OBS_000007,2024-11-11,1,STM,STM_ROL_05,STM_ROL_05,STM_TA_013,OPG,OPG+,,False,
OBS_000945,2024-11-11,1,STM,STM_ROL_04,STM_ROL_02,STM_TA_016,OCC,OCC+,R02,True,R02CC02
OBS_000008,2024-11-11,1,TME,TME_ROL_04,TME_ROL_04,TME_TA_006,OPG,OPG+,,False,
OBS_000009,2024-11-11,1,TME,TME_ROL_06,TME_ROL_06,TME_TA_007,OPG,OPG+,,False,
OBS_000013,2024-11-12,1,CHP,CHP_ROL_04,CHP_ROL_04,CHP_TA_019,OPG,OPG+,,False,
OBS_000010,2024-11-12,1,MRA,MRA_ROL_08,MRA_ROL_08,MRA_TA_016,OPG,OPG+,,False,
OBS_000011,2024-11-12,1,MRA,MRA_ROL_08,MRA_ROL_08,MRA_TA_001,OPG,OPG+,,False,
OBS_000012,2024-11-12,1,MRA,MRA_ROL_07,MRA_ROL_07,MRA_TA_017,OPG,OPG+,,False,
OBS_000934,2024-11-12,1,MRA,MRA_ROL_08,MRA_ROL_02,MRA_TA_022,OCC,OCC+,R01,True,R01CC06
OBS_000946,2024-11-12,1,MRA,MRA_ROL_08,MRA_ROL_05,MRA_TA_002,OCC,OCC+,R02,True,R02CM01
OBS_000014,2024-11-12,1,PLC,PLC_ROL_05,PLC_ROL_05,PLC_TA_016,OPG,OPG+,,False,
OBS_000015,2024-11-12,1,STM,STM_ROL_08,STM_ROL_08,STM_TA_010,OPG,OPG+,,False,
OBS_000016,2024-11-12,1,STM,STM_ROL_02,STM_ROL_02,STM_TA_014,OPG,OPG+,,False,
OBS_000017,2024-11-12,1,STM,STM_ROL_05,STM_ROL_05,STM_TA_012,OPG,OPG+,,False,
OBS_000936,2024-11-12,1,STM,STM_ROL_08,STM_ROL_04,STM_TA_011,OCC,OCC-,R01,True,R01CC05
OBS_000018,2024-11-12,1,TME,TME_ROL_01,TME_ROL_01,TME_TA_013,OPG,OPG-,,False,
OBS_000019,2024-11-12,1,TME,TME_ROL_04,TME_ROL_04,TME_TA_012,OPG,OPG+,,False,
OBS_000944,2024-11-12,1,TME,TME_ROL_02,TME_ROL_02,TME_TA_003,OCC,OCC+,R02,True,R02CP05
OBS_000022,2024-11-13,1,CHP,CHP_ROL_03,CHP_ROL_03,CHP_TA_004,OPG,OPG+,,False,
OBS_000947,2024-11-13,1,CHP,CHP_ROL_04,CHP_ROL_08,CHP_TA_003,OCC,OCC-,R03,True,R03CC01
OBS_000020,2024-11-13,1,MRA,MRA_ROL_07,MRA_ROL_07,MRA_TA_017,OPG,OPG+,,False,
OBS_000021,2024-11-13,1,MRA,MRA_ROL_05,MRA_ROL_05,MRA_TA_020,OPG,OPG+,,False,
OBS_000023,2024-11-13,1,PLC,PLC_ROL_09,PLC_ROL_09,PLC_TA_012,OPG,OPG+,,False,
OBS_000024,2024-11-13,1,PLC,PLC_ROL_04,PLC_ROL_04,PLC_TA_017,OPG,OPG+,,False,
OBS_000940,2024-11-13,1,PLC,PLC_ROL_02,PLC_ROL_09,PLC_TA_005,OCC,OCC+,R01,True,R01CC06
OBS_000025,2024-11-13,1,STM,STM_ROL_01,STM_ROL_01,STM_TA_002,OPG,OPG+,,False,
OBS_000938,2024-11-13,1,STM,STM_ROL_08,STM_ROL_08,STM_TA_018,OCC,OCC+,R01,True,R01CC02
OBS_000026,2024-11-13,1,TME,TME_ROL_08,TME_ROL_08,TME_TA_015,OPG,OPG+,,False,
OBS_000027,2024-11-13,1,TME,TME_ROL_03,TME_ROL_03,TME_TA_011,OPG,OPG+,,False,
OBS_000939,2024-11-13,1,TME,TME_ROL_06,TME_ROL_06,TME_TA_015,OCC,OCC+,R01,True,R01CC06
OBS_000031,2024-11-14,1,CHP,CHP_ROL_06,CHP_ROL_06,CHP_TA_011,OPG,OPG+,,False,
OBS_000028,2024-11-14,1,MRA,MRA_ROL_03,MRA_ROL_03,MRA_TA_013,OPG,OPG+,,False,
OBS_000029,2024-11-14,1,MRA,MRA_ROL_05,MRA_ROL_05,MRA_TA_019,OPG,OPG+,,False,
OBS_000030,2024-11-14,1,MRA,MRA_ROL_08,MRA_ROL_08,MRA_TA_019,OPG,OPG+,,False,
OBS_000941,2024-11-14,1,MRA,MRA_ROL_08,MRA_ROL_01,MRA_TA_021,OCC,OCC+,R01,True,R01CP06
OBS_000032,2024-11-14,1,PLC,PLC_ROL_10,PLC_ROL_10,PLC_TA_010,OPG,OPG+,,False,
OBS_000033,2024-11-14,1,PLC,PLC_ROL_12,PLC_ROL_12,PLC_TA_001,OPG,OPG+,,False,
OBS_000948,2024-11-14,1,PLC,PLC_ROL_06,PLC_ROL_12,PLC_TA_002,OCC,OCC+,R03,True,R03CM02
OBS_000034,2024-11-14,1,STM,STM_ROL_04,STM_ROL_04,STM_TA_002,OPG,OPG+,,False,
OBS_000035,2024-11-14,1,STM,STM_ROL_03,STM_ROL_03,STM_TA_017,OPG,OPG+,,False,
