semana_id,riesgo_id,score_proactivo,rank_proactivo,threshold_alerta,threshold_critico
1,R01,0.91,1,0.83,0.86
1,R02,0.88,2,0.83,0.86
1,R05,0.86,3,0.83,0.86
1,R03,0.84,4,0.83,0.86
1,R04,0.82,5,0.83,0.86
1,R07,0.8,6,0.83,0.86
1,R06,0.78,7,0.83,0.86
1,R08,0.76,8,0.83,0.86
1,R10,0.74,9,0.83,0.86
1,R09,0.72,10,0.83,0.86
2,R01,0.88,1,0.8,0.83
2,R02,0.85,2,0.8,0.83
2,R04,0.83,3,0.8,0.83
2,R05,0.81,4,0.8,0.83
2,R03,0.79,5,0.8,0.83
2,R06,0.77,6,0.8,0.83
2,R08,0.75,7,0.8,0.83
2,R07,0.73,8,0.8,0.83
2,R09,0.71,9,0.8,0.83
2,R10,0.69,10,0.8,0.83
3,R01,0.9,1,0.82,0.85
3,R05,0.87,2,0.82,0.85
3,R02,0.85,3,0.82,0.85
3,R03,0.83,4,0.82,0.85
3,R04,0.81,5,0.82,0.85
3,R06,0.79,6,0.82,0.85
3,R08,0.77,7,0.82,0.85
3,R09,0.75,8,0.82,0.85
3,R07,0.73,9,0.82,0.85
3,R10,0.71,10,0.82,0.85
4,R03,0.87,1,0.79,0.82
4,R05,0.84,2,0.79,0.82
4,R01,0.82,3,0.79,0.82
4,R04,0.8,4,0.79,0.82
4,R02,0.78,5,0.79,0.82
4,R06,0.76,6,0.79,0.82
4,R08,0.74,7,0.79,0.82
4,R07,0.72,8,0.79,0.82
4,R10,0.7,9,0.79,0.82
4,R09,0.68,10,0.79,0.82
5,R01,0.92,1,0.84,0.87
5,R03,0.89,2,0.84,0.87
5,R05,0.87,3,0.84,0.87
5,R02,0.85,4,0.84,0.87
5,R04,0.83,5,0.84,0.87
5,R07,0.81,6,0.84,0.87
5,R06,0.79,7,0.84,0.87
5,R10,0.77,8,0.84,0.87
5,R08,0.75,9,0.84,0.87
5,R09,0.73,10,0.84,0.87
6,R03,0.89,1,0.81,0.84
6,R01,0.86,2,0.81,0.84
6,R02,0.84,3,0.81,0.84
6,R05,0.82,4,0.81,0.84
6,R04,0.8,5,0.81,0.84
6,R08,0.78,6,0.81,0.84
6,R06,0.76,7,0.81,0.84
6,R07,0.74,8,0.81,0.84
6,R09,0.72,9,0.81,0.84
6,R10,0.7,10,0.81,0.84
7,R03,0.91,1,0.83,0.86
7,R02,0.88,2,0.83,0.86
7,R04,0.86,3,0.83,0.86
7,R01,0.84,4,0.83,0.86
7,R05,0.82,5,0.83,0.86
7,R06,0.8,6,0.83,0.86
7,R08,0.78,7,0.83,0.86
7,R07,0.76,8,0.83,0.86
7,R10,0.74,9,0.83,0.86
7,R09,0.72,10,0.83,0.86
8,R05,0.9,1,0.82,0.85
8,R03,0.87,2,0.82,0.85
8,R02,0.85,3,0.82,0.85
8,R04,0.83,4,0.82,0.85
8,R01,0.81,5,0.82,0.85
8,R08,0.79,6,0.82,0.85
8,R06,0.77,7,0.82,0.85
8,R10,0.75,8,0.82,0.85
8,R07,0.73,9,0.82,0.85
8,R09,0.71,10,0.82,0.85
9,R05,0.93,1,0.85,0.88
9,R04,0.9,2,0.85,0.88
9,R03,0.88,3,0.85,0.88
9,R02,0.86,4,0.85,0.88
9,R06,0.84,5,0.85,0.88
9,R01,0.82,6,0.85,0.88
9,R07,0.8,7,0.85,0.88
9,R10,0.78,8,0.85,0.88
9,R09,0.76,9,0.85,0.88
9,R08,0.74,10,0.85,0.88
10,R04,0.88,1,0.8,0.83
10,R05,0.85,2,0.8,0.83
10,R03,0.83,3,0.8,0.83
10,R02,0.81,4,0.8,0.83
10,R01,0.79,5,0.8,0.83
10,R08,0.77,6,0.8,0.83
10,R06,0.75,7,0.8,0.83
10,R09,0.73,8,0.8,0.83
10,R10,0.71,9,0.8,0.83
10,R07,0.69,10,0.8,0.83
11,R05,0.92,1,0.84,0.87
11,R04,0.89,2,0.84,0.87
11,R02,0.87,3,0.84,0.87
11,R01,0.85,4,0.84,0.87
11,R06,0.83,5,0.84,0.87
11,R03,0.81,6,0.84,0.87
11,R08,0.79,7,0.84,0.87
11,R09,0.77,8,0.84,0.87
11,R10,0.75,9,0.84,0.87
11,R07,0.73,10,0.84,0.87
12,R05,0.89,1,0.81,0.84
12,R02,0.86,2,0.81,0.84
12,R04,0.84,3,0.81,0.84
12,R01,0.82,4,0.81,0.84
12,R03,0.8,5,0.81,0.84
12,R06,0.78,6,0.81,0.84
12,R08,0.76,7,0.81,0.84
12,R10,0.74,8,0.81,0.84
12,R07,0.72,9,0.81,0.84
12,R09,0.7,10,0.81,0.84
