semana,posicion,id_riesgo
1,1,R01
1,2,R02
1,3,R05
1,4,R04
1,5,R03
1,6,R06
1,7,R07
1,8,R08
1,9,R09
1,10,R10
2,1,R01
2,2,R02
2,3,R04
2,4,R05
2,5,R03
2,6,R06
2,7,R07
2,8,R08
2,9,R09
2,10,R10
3,1,R01
3,2,R05
3,3,R02
3,4,R04
3,5,R03
3,6,R06
3,7,R07
3,8,R08
3,9,R09
3,10,R10
4,1,R01
4,2,R05
4,3,R02
4,4,R04
4,5,R03
4,6,R06
4,7,R07
4,8,R08
4,9,R09
4,10,R10
5,1,R01
5,2,R03
5,3,R02
5,4,R05
5,5,R04
5,6,R06
5,7,R07
5,8,R08
5,9,R09
5,10,R10
6,1,R03
6,2,R01
6,3,R02
6,4,R05
6,5,R04
6,6,R06
6,7,R07
6,8,R08
6,9,R09
6,10,R10
7,1,R03
7,2,R02
7,3,R01
7,4,R05
7,5,R04
7,6,R06
7,7,R07
7,8,R08
7,9,R09
7,10,R10
8,1,R03
8,2,R02
8,3,R05
8,4,R01
8,5,R04
8,6,R06
8,7,R07
8,8,R08
8,9,R09
8,10,R10
9,1,R05
9,2,R03
9,3,R02
9,4,R04
9,5,R01
9,6,R06
9,7,R07
9,8,R08
9,9,R09
9,10,R10
10,1,R05
10,2,R04
10,3,R03
10,4,R02
10,5,R06
10,6,R01
10,7,R07
10,8,R08
10,9,R09
10,10,R10
11,1,R05
11,2,R04
11,3,R02
11,4,R01
11,5,R03
11,6,R06
11,7,R07
11,8,R08
11,9,R09
11,10,R10
12,1,R05
12,2,R01
12,3,R02
12,4,R03
12,5,R04
12,6,R06
12,7,R07
12,8,R08
12,9,R09
12,10,R10
