semana_id,riesgo_id,score_proactivo,rank_proactivo
1,R01,0.91,1
1,R02,0.88,2
1,R05,0.86,3
1,R03,0.84,4
1,R04,0.82,5
1,R07,0.80,6
1,R06,0.78,7
1,R08,0.76,8
1,R10,0.74,9
1,R09,0.72,10

2,R01,0.88,1
2,R02,0.85,2
2,R04,0.83,3
2,R05,0.81,4
2,R03,0.79,5
2,R06,0.77,6
2,R08,0.75,7
2,R07,0.73,8
2,R09,0.71,9
2,R10,0.69,10

3,R01,0.90,1
3,R05,0.87,2
3,R02,0.85,3
3,R03,0.83,4
3,R04,0.81,5
3,R06,0.79,6
3,R08,0.77,7
3,R09,0.75,8
3,R07,0.73,9
3,R10,0.71,10

4,R03,0.87,1
4,R05,0.84,2
4,R01,0.82,3
4,R04,0.80,4
4,R02,0.78,5
4,R06,0.76,6
4,R08,0.74,7
4,R07,0.72,8
4,R10,0.70,9
4,R09,0.68,10

5,R01,0.92,1
5,R03,0.89,2
5,R05,0.87,3
5,R02,0.85,4
5,R04,0.83,5
5,R07,0.81,6
5,R06,0.79,7
5,R10,0.77,8
5,R08,0.75,9
5,R09,0.73,10

6,R03,0.89,1
6,R01,0.86,2
6,R02,0.84,3
6,R05,0.82,4
6,R04,0.80,5
6,R08,0.78,6
6,R06,0.76,7
6,R07,0.74,8
6,R09,0.72,9
6,R10,0.70,10

7,R03,0.91,1
7,R02,0.88,2
7,R04,0.86,3
7,R01,0.84,4
7,R05,0.82,5
7,R06,0.80,6
7,R08,0.78,7
7,R07,0.76,8
7,R10,0.74,9
7,R09,0.72,10

8,R05,0.90,1
8,R03,0.87,2
8,R02,0.85,3
8,R04,0.83,4
8,R01,0.81,5
8,R08,0.79,6
8,R06,0.77,7
8,R10,0.75,8
8,R07,0.73,9
8,R09,0.71,10

9,R05,0.93,1
9,R04,0.90,2
9,R03,0.88,3
9,R02,0.86,4
9,R06,0.84,5
9,R01,0.82,6
9,R07,0.80,7
9,R10,0.78,8
9,R09,0.76,9
9,R08,0.74,10

10,R04,0.88,1
10,R05,0.85,2
10,R03,0.83,3
10,R02,0.81,4
10,R01,0.79,5
10,R08,0.77,6
10,R06,0.75,7
10,R09,0.73,8
10,R10,0.71,9
10,R07,0.69,10

11,R05,0.92,1
11,R04,0.89,2
11,R02,0.87,3
11,R01,0.85,4
11,R06,0.83,5
11,R03,0.81,6
11,R08,0.79,7
11,R09,0.77,8
11,R10,0.75,9
11,R07,0.73,10

12,R05,0.89,1
12,R02,0.86,2
12,R04,0.84,3
12,R01,0.82,4
12,R03,0.80,5
12,R06,0.78,6
12,R08,0.76,7
12,R10,0.74,8
12,R07,0.72,9
12,R09,0.70,10
