semana,riesgo_id,criticidad_media,tendencia,rank_pos,score,dist_top1,sev_k9,peso_k9
1,R01,0.239,0.0,1,0.91,0.0,SEV3,2.0788
1,R02,0.3759,0.0,2,0.88,-0.03,SEV3,2.33
1,R03,0.1753,0.0,4,0.84,-0.07,SEV3,1.0
2,R01,0.2986,0.0596,1,0.88,0.0,SEV3,2.0788
2,R02,0.41,0.0342,2,0.85,-0.03,SEV3,2.33
2,R03,0.1846,0.0093,5,0.79,-0.09,SEV2,1.0
3,R01,0.2775,-0.0211,1,0.9,0.0,SEV3,2.0788
3,R02,0.4375,0.0275,3,0.85,-0.05,SEV3,2.33
3,R03,0.194,0.0094,4,0.83,-0.07,SEV3,1.0
4,R01,0.321,0.0435,3,0.82,-0.05,SEV3,2.0788
4,R02,0.4918,0.0543,5,0.78,-0.09,SEV2,2.33
4,R03,0.1707,-0.0232,1,0.87,0.0,SEV3,1.0
5,R01,0.319,-0.002,1,0.92,0.0,SEV3,2.0788
5,R02,0.5406,0.0488,4,0.85,-0.07,SEV3,2.33
5,R03,0.1752,0.0044,2,0.89,-0.03,SEV3,1.0
6,R01,0.3655,0.0464,2,0.86,-0.03,SEV3,2.0788
6,R02,0.576,0.0354,3,0.84,-0.05,SEV3,2.33
6,R03,0.1829,0.0078,1,0.89,0.0,SEV3,1.0
7,R01,0.3899,0.0244,4,0.84,-0.07,SEV3,2.0788
7,R02,0.6134,0.0374,2,0.88,-0.03,SEV3,2.33
7,R03,0.184,0.0011,1,0.91,0.0,SEV3,1.0
8,R01,0.4169,0.027,5,0.81,-0.09,SEV3,2.0788
8,R02,0.6789,0.0655,3,0.85,-0.05,SEV3,2.33
8,R03,0.1854,0.0014,2,0.87,-0.03,SEV3,1.0
9,R01,0.4299,0.013,6,0.82,-0.11,SEV3,2.0788
9,R02,0.7013,0.0224,4,0.86,-0.07,SEV3,2.33
9,R03,0.1764,-0.009,3,0.88,-0.05,SEV3,1.0
10,R01,0.4769,0.047,5,0.79,-0.09,SEV2,2.0788
10,R02,0.7444,0.0432,4,0.81,-0.07,SEV3,2.33
10,R03,0.1834,0.0069,3,0.83,-0.05,SEV3,1.0
11,R01,0.488,0.0111,4,0.85,-0.07,SEV3,2.0788
11,R02,0.8146,0.0702,3,0.87,-0.05,SEV3,2.33
11,R03,0.1774,-0.0059,6,0.81,-0.11,SEV3,1.0
12,R01,0.5044,0.0163,4,0.82,-0.07,SEV3,2.0788
12,R02,0.8593,0.0448,2,0.86,-0.03,SEV3,2.33
12,R03,0.1762,-0.0013,5,0.8,-0.09,SEV3,1.0
