semana,criticidad_R01_media,criticidad_R02_media,criticidad_R03_media,criticidad_global_media
1,0.23899891265456055,0.3758588204683324,0.17527319370711375,0.2914974368245848
2,0.2985999202506363,0.4100159213761528,0.18455325233984013,0.3257962538356955
3,0.2775488731533147,0.4375013304396877,0.19395595575564423,0.3366268724470836
4,0.32104751269694093,0.4917940595091067,0.17072474290570597,0.3688400936552151
5,0.31902263786134794,0.5406383197439834,0.1751503518974904,0.3938624073117012
6,0.36545418278717057,0.5759913304120073,0.18293161860303356,0.4250921155535547
7,0.38986509221757304,0.613394856056556,0.18398561274255837,0.4501601042683108
8,0.41689647000242763,0.6788590270687832,0.18542848305779266,0.49001075179944664
9,0.4299409154745239,0.7012557531690395,0.17642454049969492,0.5022192405780744
10,0.47689334980657655,0.7444216720545915,0.1833671595170217,0.5372759633581954
11,0.48803822749628617,0.8145759365294627,0.1774472235471533,0.5736593310255912
12,0.5043667357550667,0.8593263333332027,0.17615439849096398,0.599793450228109
